-2.43252309966139,59.368707694737,North Ronaldsay Airport
-2.38939469966739,46.7175416949452,Aérodrome d'Ile d'Yeu
-2.37871999966888,39.2981986953895,Casas de los Pinos Airport
-2.37302189966968,36.8445636955794,Aeropuerto de Almería
-2.31909089967718,42.4579577951752,Aeropuerto de Logroño-Agoncillo
-2.30662959967891,52.6412932947515,RAF Cosford
-2.28371859968211,51.441616894778,Colerne Airport
-2.28168249968239,51.7153547947713,Bristol and Gloucestershire Gliding Club
-2.27499999968331,53.3538888947391,Manchester
-2.26232549968509,52.517860894754,Wolverhampton Airport
-2.21486869969169,49.707445994828,The Blaye
-2.20294499969335,57.2038065947157,Dyce
-2.19149329969494,49.205538794845,Jersey Airport
-2.16441709969871,51.8935971947672,Gloucestershire Airport
-2.16434039969872,55.7496624947155,Winfield Aerodrome
-2.14388989970157,40.2042006953244,Sotos Airport
-2.13526289970277,52.084978994763,
-2.12939569970359,47.2710234949207,LF4423
-2.11177669970604,51.3130973947812,Keevil Airfield
-2.07771789971078,48.5887582948673,Dinard - Pleurtuit
-2.05777469971355,51.6682952947725,Kemble Airfield
-2.05415579971406,60.1229707947506,Foula Airport
-2.01601279971937,51.6309579947734,Oaksey Park Airfield
-1.99158319972277,51.5073490947764,RAF Lyneham
-1.87941489973838,38.9456597954156,Aeropuerto de Albacete-Los Llanos
-1.86351999974059,38.9485015954154,Albacete-Los Llanos Airport
-1.80193999974917,51.5060996947764,
-1.79300959975041,43.3564990951208,Donostiako aireportua - Aeropuerto de San Sebastián
-1.78709999975124,51.6821999947721,RAF Fairford
-1.7615041997548,52.8155999947483,Tatenhill Airfield
-1.75424999975581,51.2471999947829,Netheravon Airfield
-1.75048779975633,52.7069859947503,Sittles Airfield
-1.74381999975725,51.4934005947767,Draycott Farm Aerodrome
-1.73313659975874,52.4531980947553,Birmingham International
-1.72605639975973,47.3593913949169,Proposed international airport of Notre Dame Des Landes
-1.72578849975977,48.0684686948875,Aéroport de Rennes Saint-Jacques
-1.7039844997628,51.561373394775,Redlands Airfield
-1.7032703997629,51.4972762947766,Lower Upham Aerodrome
-1.69677999976381,51.8666625947679,RAF Little Rissington
-1.69305999976432,60.3217009947548,Papa Stour Airport
-1.69166849976452,55.0375007947195,Newcastle International
-1.66055799976885,53.8658346947316,Leeds/Bradford Intl
-1.65927779976902,53.8699260947316,Leeds Bradford International Airport
-1.64197239977144,42.7659650951562,Aeropuerto de Pamplona
-1.61749989977484,52.8596991947474,Derby Airfield
-1.61461299977524,52.1940770947606,Wellesbourne Airfield
-1.61073009977578,47.1531981949257,Nantes Atlantique Airport
-1.57749729978041,51.7526257947705,RAF Brize Norton
-1.52499999978772,38.6169013954402,Ontur Airport
-1.50398979979064,49.203723694845,Aérodrome Charles Lindbergh
-1.48118759979382,52.368696794757,Coventry Airport
-1.47705659979439,49.64676469483,Aéroport de Cherbourg-Maupertus
-1.42849999980116,51.9281666947664,Enstone Aerodrome
-1.41928589980243,54.1384957947282,RAF Dishforth
-1.39971059980516,48.6612514948646,Aérodrome d'Avranches le Val-Saint-Père
-1.3843767998073,54.7668377947217,Peterlee
-1.38282729980751,54.2054625947274,RAF Topcliffe
-1.32945149981494,52.828600794748,East Midlands Airport
-1.32555999981548,46.9331016949355,Montaigu St Georges Airport
-1.31641249981675,45.9592810949809,Bel-Air
-1.31428059981705,51.687103694772,Abingdon Airfield
-1.29796459981932,40.9023079952763,Aeródromo de Calamocha
-1.29410109981986,60.4356772947573,Scatsta Airport
-1.29130059982025,54.2121390947273,Bagby
-1.2887840998206,59.8779357947459,Sumburgh Airport
-1.28471989982117,42.5656012951685,Sangüesa Airport
-1.25274599982562,54.0485192947293,RAF Linton-on-Ouse
-1.23389899982824,51.1950533947843,Popham Airfield
-1.23031999982874,37.9510993954913,Alcantarilla Airport
-1.21546629983081,53.7872352947327,Sherburn Aero Club
-1.21361989983107,54.0220116947296,
-1.20931229983166,54.2295587947271,Yorkshire Gliding Club Airfield
-1.20811719983183,52.0281162947642,Hinton-in-the-Hedges Airfield
-1.19619629983349,53.3171765947396,Netherthorpe Airfield
-1.19566959983356,46.1788007949703,Aéroport de La Rochelle - Île de Ré
-1.18805999983462,47.7406005949008,Châteaubriant Pouancé Airport
-1.18498199983505,53.9493176947305,York Rufforth Airport
-1.16909079983726,51.3839742947794,Brimpton
-1.16140339983833,44.1477049950755,Mimizan Airport
-1.13193999984243,51.9166984947667,Bicester Airfield
-1.13172099984246,44.3693819950632,Aéroport Biscarrosse Parentis
-1.13066999984261,52.4869002947545,Bruntingthorpe Airport
-1.11383539984495,44.5970603950508,
-1.11317999984505,38.8950004954193,Almansa Airport
-1.10863059984568,50.6790715947983,Bembridge Airport
-1.09928669984698,53.7495891947332,Burn Gliding Club
-1.09555999984749,52.0407981947639,Turweston Airport
-1.07616769985019,45.8234729949875,Marennes Le Bournet Airport
-1.07129539985088,51.6719829947724,Chalgrove Airfield
-1.06888999985121,43.6892013951015,Dax Seyresse Airport
-1.06558659985167,44.7554351950423,Andernos les Bains
-1.04155239985501,41.6665637952255,Aeropuerto de Zaragoza
-1.03387309985609,52.6067181947522,Leicester Airport
-1.02909599985675,51.7210720947712,
-1.00443989986018,53.4747008947372,Robin Hood Doncaster Sheffield Airport
-1.00300009986038,53.4762999947372,Robin Hood Airport Doncaster Sheffield
-0.995277999861455,45.9308013949823,Rochefort Soubise Airport
-0.972291499864658,54.3097205947263,Fadmoor
-0.971159999864816,54.2369038947271,Wombleton
-0.951388999867564,53.2806014947403,Retford Gamston Airport
