"52778";"Herrljunga flygfält";"58.02944400";"13.10805600";"0513-23029"
"52779";"Höganäs flygfält";"56.18472200";"12.57583300";"042-342980"
"52780";"Hudiksvalls flygplats";"61.76766586";"17.07500076";"0650-16500"
"52781";"Hultsfreds flygplats";"57.52216721";"15.82066727";"0495-10306"
"52782";"Idre flygplats";"61.86972200";"12.68944400";"0253-20570"
"52783";"Jokkmokk flygfält";"66.42128024";"20.14755249";"0971-17292"
"52784";"Jönköping flygplats";"57.75500107";"14.06816673";"036-311100"
"52785";"Kågeröd flygfält (Simmelsberga)";"55.99500000";"13.05333300";"0418-80250"
"52786";"Kalmar Flygplats";"56.68466568";"16.28583336";"0480-459000"
"52787";"Karlsborg / Flugebyn flygfält";"58.59992755";"14.45903778";"0505-451000"
"52788";"Karlskoga flygplats";"59.34000015";"14.49016666";"0586-53360"
"52789";"Karlstads flygplats";"59.44016647";"13.33583260";"054-556000"
"52790";"Katrineholm flygfält";"59.02222200";"16.22027800";"0150-15072"
"52791";"Kiruna (Kalixfors) flygfält";"67.76527800";"20.26222200";"0980-12070"
"52792";"Kiruna flygplats";"67.81950378";"20.33466721";"0980-68000"
"52793";"Köping (Gålby) flygfält";"59.53333301";"15.96666575";"0221-20445"
"52794";"Kramfors-Sollefteå flygplats";"63.04249954";"17.76799965";"0612-718110"
"52795";"Kristianstad Flygplats";"55.91899872";"14.08450031";"044-238850"
"52796";"Landskrona (Enoch Thulins flygplats)";"55.94444400";"12.86944400";"0418-75010"
"52797";"Laxå (Vena) flygfält";"58.97861100";"14.66611100";"0584-85100"
"52799";"Lidköping-Hovby flygplats";"58.46527800";"13.17444400";"0510-22238"
"52800";"Lidköping-Råda flygfält";"58.49805600";"13.05472200";
"52801";"Linköping - Malmen flygplats";"58.39777800";"15.52277800";"013-283000"
"52802";"Linköping - SAAB Flygplats";"58.40383148";"15.67450047";"013-181030"
"52803";"Ljungby - Feringe flygplats";"56.95027800";"13.92166700";"0372-70242"
"52804";"Ljungbyhed flygfält";"56.08527800";"13.20694400";"0435-445500"
"52805";"Ljusdal  flygfält (Forsnäset)";"61.81694400";"16.00416700";"0651-10746"
"52806";"Ludvika flygplats";"60.08805600";"15.09638900";"0240-86000"
"52807";"Luleå / Kallax Flygplats F21";"65.53932953";"22.12083244";"0920-244900"
"52808";"Lund-Hasslanda flygplats";"55.68416700";"13.20833300";"046-2118194"
"52809";"Lycksele flygplats";"64.54183197";"18.71733284";"0950-27555"
"52810";"Malmö Flygplats";"55.54233170";"13.35200024";"040-6131000"
"52811";"Malung Flygplats  (Skinnlanda)";"60.65888900";"13.72666700";"0280-12095FK"
"52812";"Mellansels flygplats";"63.39194400";"18.32055600";"0660-91054"
"52813";"Mora-Siljan flygplats";"60.95516586";"14.50633335";"0250-30175"
"52814";"Motala flygfält (Skärstad)";"58.48999313";"15.10246754";"0141-232187"
"52815";"Munkfors flygfält";"59.79888900";"13.49055600";"0552-30389"
"52816";"Norrköping - Bråvalla flygplats";"58.61083300";"16.10361100";"0457-471000"
"52817";"Norrköping flygplats";"58.58499908";"16.24116707";"011-153710"
"52818";"Norrtälje flygfält (Mellingeholm)";"59.73333300";"18.70000000";"0176-16308"
"52819";"Byxelkrok / Ölanda flygfält";"57.32861100";"17.05833300";"0485-28141"
"52820";"Örebro flygplats";"59.22349930";"15.03733253";"0911-62315"
"52821";"Öresten flygfält";"57.44527915";"12.64889052";"0320-40023"
"52822";"Örnsköldsvik flygplats";"63.40466690";"18.98883247";"0660-87400"
"52823";"ORSA FLYGFÄLT (Tallhed)";"61.19222200";"14.71916700";"0250-550147"
"52824";"Oskarshamn flygplats";"57.35194400";"16.49833300";"0491-33200"
"52825";"Optands Flygfält";"63.12946050";"14.80424881";"063-35245"
"52826";"Åre Östersund Airport (Frösön)";"63.19444400";"14.50027800";"063-193000"
"52827";"Överkalix flygfält (Naisheden)";"66.53000000";"22.35500000";"0926-10009"
"52828";"Oviken flygfält";"63.04166700";"14.00138900";"070-6059555"
"52829";"Pajala flygplats";"67.24583300";"23.06888900";"0978-51110"
"52830";"Piteå flygfält";"65.39833300";"21.26083300";"0911-62315"
"52831";"Ramsele flygfält";"63.49027800";"16.48361100";"0623-20005"
"52832";"Ronneby flygplats";"56.26666700";"15.26500000";"0457-25590"
"52833";"Säffle flygfält";"59.09111100";"12.95833300";"0533-18029"
"52834";"Sandvik flygfält (Mellanlanda)";"57.06833300";"16.86416700";"0485-669699"
"52835";"Såtenäs flygfält";"58.42833300";"12.71111100";"0510-477000"
"52836";"Sättna flygfält";"62.48138900";"17.00305600";
"52837";"Siljansnäs flygfält";"60.78583259";"14.83027713";"0247-22880"
"52839";"Skellefteå flygplats";"64.62472200";"21.07694400";"0910-57600"
"52840";"Skövde flygplats";"58.45611100";"13.97277800";"0500-463030"
"52841";"Smålandsstenar flygfält (Smålanda)";"57.16861100";"13.44000000";"0371-34300"
"52842";"Söderhamn/Mohed flygfält";"61.29111100";"16.84638900";"0270-425456"
"52843";"Söderhamns flygplats";"61.26138900";"17.09833300";"0270-75207"
"52844";"Sollefteå  flygfält (Långsele)";"63.17078484";"16.98520660";"0620-21400"
"52845";"Sjöbo/Sövde";"55.59833300";"13.67722200";"0416-16051"
"52846";"Stockholm-Arlanda flygplats";"59.65116882";"17.91783333";"08-7976000"
"52847";"Stockholm-Barkarby flygplats";"59.41444574";"17.88388684";"08-7528380"
"52848";"Stockholm-Bromma flygplats";"59.35262097";"17.94410999";"08-7976800"
"52849";"Stockholm-Skavsta flygplats";"58.78649902";"16.90216637";"0155-280400"
"52850";"Stockholm-Västerås flygplats";"59.58700180";"16.63349915";
"52851";"Stockholm-Frölunda flygfält";"59.45000118";"17.69999968";
"52852";"Stockholm-Skå-Edeby flygfält";"59.34500000";"17.74055600";"08-56040574"
"52853";"Stockholm-Vallentuna flygfält";"59.51446792";"17.96316147";
"52854";"Storuman flygplats";"64.95822332";"17.70120621";"0951-15440"
"52855";"Storvik - Lemstanäs flygfält";"60.58597200";"16.58666650";"0290-37597"
"52856";"Strömstad flygfält (Näsinge)";"59.01694400";"11.34361100";"0526-19000"
"52857";"Sundsvall-Härnösands flygplats";"62.52724937";"17.44422913";"060-197600"
"52858";"Sunne flygfält (Holmby)";"59.86027800";"13.11333300";"0565-10111"
"52859";"Svegs flygplats";"62.04777800";"14.42444400";"0680-711350"
"52860";"Tidaholm flygfält (Bämmelshed)";"58.19194400";"13.99555600";"0502-33084"
"52861";"Tierp flygfält";"60.33444400";"17.42194400";"0293-54035"
"52862";"Tomelilla flygfält";"55.54265541";"14.00585175";"0417-511196"
"52863";"Torsby flygplats";"60.15472200";"12.99361100";"0560-71724"
"52864";"Trelleborg flygfält (Maglarp)";"55.39444400";"13.02500000";
"52865";"Trollhättan-Vänersborgs flygplats";"58.31805600";"12.34500000";"0520-82500"
"52866";"Uddevalla/Backamo flygfält";"58.17722200";"11.97361100";"0522-23366"
"52867";"Uddevalla/Rörkärr flygfält";"58.36666700";"11.78333300";"0522-82414"
"52868";"Ulricehamn flygfält (Timmele)";"57.87285630";"13.43044281";
"52869";"Umeå flygplats";"63.79305600";"20.28000000";"090-716100"
"52870";"Uppsala-Ärna flygfält (f d F16)";"59.90083300";"17.59583300";
"52871";"Uppsala-Sundbro flygfält";"59.92276490";"17.53435035";"018-357013"
"52872";"Varberg (Getterön) flygfält";"57.12472200";"12.22805600";"0340-19800"
"52873";"Värnamo (Hagshult) flygfält";"57.29222200";"14.13694400";
"52874";"Västerås/Johannisberg flygfält";"59.57638900";"16.50638900";"013-135612"
"52875";"Västervik flygfält";"57.77831256";"16.52702305";"0490-24050"
"52876";"Växjö/Kronoberg flygfält";"56.93027800";"14.72861100";"0470-758500"
"52877";"Vellinge/Söderslätt flygfält";"55.39958610";"13.03184509";"0410-330450"
"52878";"Vidsel flygfält";"65.87666700";"20.15416700";
"52879";"Vilhelmina flygplats";"64.57861100";"16.83972200";"0940-39888"
"52880";"Visby flygplats";"57.66250000";"18.34583300";"0498-263100"
"52881";"Visingsö flygfält";"58.09861100";"14.40250000";"0390-40277"
"52930";"Hova Flygfält";"59.67442630";"17.77939790";"08-59149300"
"53591";"Håtunaholm";"59.62566767";"17.61940728";
"53593";"Troslanda flygfält";"58.89795146";"17.49924660";
"53594";"Tvetaberg flygfält";"59.14812161";"17.58705139";
"53640";"Älvdalen flygfält";"61.21392730";"14.04474375";"0251-41388"
"54721";"Sälen / Rörbäcksnäs";"61.15615681";"12.84456253";"0280-20521"
"54726";"Fjärås / Duvhed flygfält";"57.44335597";"12.16456890";"030-0540830"
"54743";"Mellbystrand / Laholm flygfält";"56.51665285";"12.97502518";
"54744";"Torekov flygfält";"56.44152507";"12.65221596";
"54752";"Kronobergshed flygfält";"56.97389516";"14.56632614";"0472-70570"
"54753";"Uråsa flygfält";"56.67990231";"14.94672775";
"54754";"Kattleberg Airport";"57.98016645";"12.14675903";
"54755";"Karlsborg / F6 Kungl Västgöta flygflottilj";"58.51450013";"14.50916290";
"54756";"Åtorp flygfält";"59.10160943";"14.30007935";
"54757";"Finspång flygfält";"58.73302472";"15.60350418";
"54758";"Norberg flygfält";"60.10559057";"15.94802856";
"54759";"Åmsele flygfält";"64.56997280";"19.31585312";
"54765";"Bondeström (Privat fält)";"58.14951156";"12.12633133";
"54766";"Bjällerup flygfält";"55.65851191";"13.26367378";
"54767";"Brandsberga flygfält";"56.04855418";"13.25311661";
"54768";"Kvarnhem Flygfält";"55.80055733";"13.62066507";
"54831";"NYGE Brandholmen";"58.74447177";"17.05069542";
"55348";"Degerfors / Grenlanda Flygfält";"59.10174166";"14.29982186";"0551-60275"
"55349";"Falkenberg / Falklanda";"56.93860668";"12.43806839";"0346-82120"
"55350";"Finnskoga / Backa";"60.55272209";"13.10136795";"0564-42112"
"55351";"Frändefors / Björnlanda";"58.52489866";"12.15705872";"0521-42066"
"55352";"Hällnäs / Vindeln";"64.26875203";"19.61866379";"0933-33045"
"55353";"Gäddede / Frostlanda flygfält";"64.48152156";"14.10266876";
"55354";"Hässleholm / Hörlinge flygfält";"56.19667750";"13.67162704";"0451-16007"
"55355";"Jönköping / Ödestugu Flygfält";"57.62003683";"14.22489166";
"55356";"Malå flygplats";"65.21413734";"18.68242264";
"55357";"Rimbo / Gavellanda flygfält";"59.85904027";"18.29051971";
"55358";"Stöde / Prästbordet flygfält";"62.40754852";"16.53030396";"0691-10800"
"55359";"Vuollerim";"66.43425475";"20.63507080";
"55360";"Ålåsen flygplats";"63.86427075";"14.60426331";
"58753";"Finlanda";"63.91156696";"16.32482529";
"58754";"Gimo gräsfält";"60.17755047";"18.19481850";
"59041";"HUSKVARNA / DRÄTTINGE";"57.86731004";"14.33784485";"0707421390"
"59085";"Ramsberg / Gammelbo flygfält";"59.77584333";"15.37854195";
"59114";"ORUST FLYGSÄLLSKAP/ORUST FLYGKLUBB";"58.13061903";"11.77656751";"0708-753309"
"59115";"Täby sjöflygklubb";"59.44786751";"18.13632488";"08-7560735"
"59116";"Borås sjukhus Helikopterflygplats";"57.72422772";"12.96378136";
"59117";"Gällivare / Vassara helikopterflygplats";"67.13656723";"20.63376188";
"59118";"Sahlgrenska sjukhus helikopterflygplats";"57.68244963";"11.95750237";
"59119";"Östra sjukhuset Helikopterflygplats";"57.72051505";"12.05303192";
"59120";"Hudiksvall sjukhus helikopterflygplats";"61.72937114";"17.09833145";
"59121";"Ryhov Sjukhus helikopterflygplats";"57.76511069";"14.19835925";
"59122";"Centralsjukhuset helikopterflygplats";"59.37514611";"13.47842216";
"59123";"Bålsta flygfält";"59.54623984";"17.46259689";"0708-848959"
"148239";"Stora sten / Grängesberg";"60.04924622";"14.88853455";
"148240";"Brunnshed flygfält";"59.87127787";"14.82948303";
"148241";"Pirttivuopio";"67.86506552";"19.20719147";"saknas"
"148279";"Hellby Säteri";"59.71711824";"16.63072586";
"148280";"Lunda / Gimo flygfält";"60.13210243";"18.10581207";"070-3940964"
"148281";"Sorunda flygfält";"59.01281473";"17.81330109";
"148282";"Bjursele flygfält";"64.87358549";"19.72131729";
"148283";"Kungshatt sjöflyg";"59.29968314";"17.85355568";
"148284";"Ebbalycke flygfält";"56.54188373";"14.97504803";
"148285";"Lidberga flygfält";"59.51964922";"18.24056625";
"148286";"Åkersberga flygfält";"59.49645780";"18.42092872";
"148287";"Fridhem Gård Airfield";"55.42667666";"13.00682525";"076-1060535"
"148303";"Stjärneberg flygfält";"58.11321318";"16.66299820";"012331048"
"148304";"Föne / Färila flygfält";"61.89693073";"15.70461273";
"148556";"Hornlanda";"57.86518837";"15.84479397";
"148572";"TRÄNGSLET";"61.38866404";"13.70063782";
"148575";"NYBY";"59.87290419";"16.42149210";
"148580";"Funäsdalen Heli Port";"62.52350731";"12.59146929";"063-183670"
"148581";"Göviken Heli Port & Sjöflygplats";"63.19270237";"14.63119268";"063-183670"
"148586";"Skånes universitetssjukhus, Lund";"55.71180906";"13.19869390";
"178643";"Kosta flygfält";"56.84484112";"15.45261749";
"148779";"Stora Sundby flygfält";"58.99878166";"17.80630589";
"148865";"Fredriksbergs flygfält";"60.15517602";"14.34342384";
"149088";"Porjus flyghamn";"66.96204122";"19.82256532";
"149089";"Stora Sjöfallet, helikopterflygplats";"67.47392361";"18.36607218";
"149090";"Ristem, helikopterflygplats";"67.71698503";"17.47934461";
"149091";"Gällivare sjukhus, helikopterlandningsplats";"67.13100576";"20.68292141";
"149092";"Kvikkjokk, helikopterflygplats";"66.94229965";"17.73889661";
"149093";"Nikkaluokta, helikopterflygplats";"67.85065761";"19.00493145";
"149094";"Björkliden, helikopterflygplats";"68.40389943";"18.68041635";
"149095";"Abisko, helikopterflygplats";"68.34578464";"18.83075953";
"149096";"Kiruna centrum, helikopterflygplats";"67.86000375";"20.20709753";
"149097";"Kurravaara, helikopterflygplats";"67.94245989";"20.36945701";
"178465";"Ottsjön";"63.20578478";"13.04454979";
"178556";"Jättne";"59.41341351";"17.16536443";
"178626";"Örnlanda";"60.32868784";"15.78250421";
"178644";"Othem flygfält";"57.76027924";"18.74353726";
"178977";"Alstäde Aerodromen";"57.34868227";"18.26295651";"0737-658900"
"179036";"Ösbyholms flygplats";"59.71794166";"18.78576491";"0704836976"
"179170";"Rinkaby flygfält";"55.98109827";"14.29578457";
"179198";"Huglajvs flygfält";"57.22690242";"18.23635889";
"179199";"Ale flygfält";"57.82158902";"18.98363588";
