Mimizan Airport,LFCZ,"44.1477049951,-1.1614033998",9999
Bicester Airfield,ZZZZ,"51.9166984948,-1.1319399998",9999
Aéroport Biscarrosse Parentis,ZZZZ,"44.3693819951,-1.1317209998",9999
Bruntingthorpe Airport,ZZZZ,"52.4869002948,-1.1306699998",9999
Almansa Airport,ZZZZ,"38.8950004954,-1.1131799998",9999
Bembridge Airport,EGHJ,"50.6790715948,-1.1086305998",9999
Burn Gliding Club,ZZZZ,"53.7495891947,-1.0992866998",9999
Turweston Airport,EIWT,"52.0407981948,-1.0955599998",9999
Marennes Le Bournet Airport,ZZZZ,"45.8234729950,-1.0761676999",9999
Chalgrove Airfield,EGLJ,"51.6719829948,-1.0712953999",9999
Dax Seyresse Airport,LFBY,"43.6892013951,-1.0688899999",9999
Andernos les Bains,LFCD,"44.7554351950,-1.0655865999",9999
Aeropuerto de Zaragoza,ZZZZ,"41.6665637952,-1.0415523999",9999
Leicester Airport,EGBG,"52.6067181948,-1.0338730999",9999
Robin Hood Doncaster Sheffield Airport,ZZZZ,"53.4747008947,-1.0044398999",9999
Robin Hood Airport Doncaster Sheffield,EGCN,"53.4762999947,-1.0030000999",9999
Rochefort Soubise Airport,LFXR,"45.9308013950,-0.9952779999",9999
Fadmoor,ZZZZ,"54.3097205947,-0.9722914999",9999
Wombleton,ZZZZ,"54.2369038947,-0.9711599999",9999
Retford Gamston Airport,EGNE,"53.2806014947,-0.9513889999",9999
Kirbymoorside,ZZZZ,"54.2510002947,-0.9412737999",9999
Aylesbury/Thame Airport,ZZZZ,"51.7757987948,-0.9402779999",9999
Thorne,ZZZZ,"53.6221999947,-0.9280559999",9999
RAF Syerston,EGXY,"53.0224393947,-0.9092250999",9999
Aeródromo La Loma,ZZZZ,"39.4890226954,-0.9018057999",9999
Aéroclub du Médoc,ZZZZ,"45.1981861950,-0.8834714999",9999
Full Sutton Flying Centre,ZZZZ,"53.9779317947,-0.8634212999",9999
Sandtoft Airfield,EGCF,"53.5615882947,-0.8612643999",9999
Unst Airport,ZZZZ,"60.7471999948,-0.8538499999",9999
Blackbushe Airport,EGLK,"51.3228082948,-0.8405434999",9999
Aeropuerto de Murcia-San Javier,ZZZZ,"37.7744999955,-0.8140999999",9999
Fontenay Le Comte Airport,LFFK,"46.4413985950,-0.7927779999",9999
Wolds Gliding Club,ZZZZ,"53.9236373947,-0.7920891999",9999
Sywell Airfield,ZZZZ,"52.3044797948,-0.7907465999",9999
Farnborough Airport,EGLF,"51.2785355948,-0.7719257999",9999
Outer Skerries Airport,ZZZZ,"60.4254783948,-0.7515765999",9999
Aérodrome de laval-Entrammes,ZZZZ,"48.0312068949,-0.7439364999",9999
RAF Halton,EGWN,"51.7906989948,-0.7379719999",9999
Santa Cilia De Jaca Airport,ZZZZ,"42.5691985952,-0.7277779999",9999
Mauléon Airport,LFJB,"46.9028014949,-0.6977779999",9999
Sturgate Airfield,EGCS,"53.3810996947,-0.6852779999",9999
RAF Cottesmore,ZZZZ,"52.7341014947,-0.6565760999",9999
Campo de vuelo Club Aeromodelismo Alzira,ZZZZ,"39.2994546954,-0.6150366999",9999
RAF North Luffenham,ZZZZ,"52.6322581948,-0.6114222999",9999
Mount Airy Airfield,ZZZZ,"53.7703837947,-0.5792682999",9999
Woolfox Lodge,ZZZZ,"52.7082807948,-0.5779187999",9999
BAe Brough,ZZZZ,"53.7200260947,-0.5680806999",9999
RAF Barkston Heath,EGYE,"52.9621999947,-0.5616999999",9999
Fairoaks Airport,EGTF,"51.3480987948,-0.5588889999",9999
Aeropuerto de Alicante,ZZZZ,"38.2844637955,-0.5582853999",9999
RAF Scampton,EGXP,"53.3096333947,-0.5509821999",9999
Dunsfold Aerodrome,EGTD,"51.1153354948,-0.5309765999",9999
RAF Waddington,EGXW,"53.1692467947,-0.5254045999",9999
Pons Avy Airport,LFCP,"45.5693369950,-0.5163614999",9999
RAF Cranwell,EGYD,"53.0296476947,-0.4861271999",9999
Aeropuerto de Valencia,ZZZZ,"39.4894473954,-0.4816654999",9999
RAF Wittering,EGXT,"52.6123725948,-0.4746985999",9999
